,payoffs,schedule_type,cooperating_agents
0,0.5,Sequential,1228
1,0.5,Sequential,2500
2,0.5,Sequential,2500
3,0.5,Sequential,2500
4,0.5,Sequential,2500
5,0.5,Sequential,2500
6,0.5,Sequential,2500
7,0.5,Sequential,2500
8,0.5,Sequential,2500
9,0.5,Sequential,2500
10,0.5,Sequential,2500
11,0.5,Sequential,2500
12,0.5,Sequential,2500
13,0.5,Sequential,2500
14,0.5,Sequential,2500
15,0.5,Sequential,2500
16,0.5,Sequential,2500
17,0.5,Sequential,2500
18,0.5,Sequential,2500
19,0.5,Sequential,2500
20,0.5,Sequential,2500
21,0.5,Sequential,2500
22,0.5,Sequential,2500
23,0.5,Sequential,2500
24,0.5,Sequential,2500
25,0.5,Sequential,2500
26,0.5,Sequential,2500
27,0.5,Sequential,2500
28,0.5,Sequential,2500
29,0.5,Sequential,2500
30,0.5,Sequential,2500
31,0.5,Sequential,2500
32,0.5,Sequential,2500
33,0.5,Sequential,2500
34,0.5,Sequential,2500
35,0.5,Sequential,2500
36,0.5,Sequential,2500
37,0.5,Sequential,2500
38,0.5,Sequential,2500
39,0.5,Sequential,2500
40,0.5,Sequential,2500
41,0.5,Sequential,2500
42,0.5,Sequential,2500
43,0.5,Sequential,2500
44,0.5,Sequential,2500
45,0.5,Sequential,2500
46,0.5,Sequential,2500
47,0.5,Sequential,2500
48,0.5,Sequential,2500
49,0.5,Sequential,2500
50,0.5,Sequential,2500
51,0.5,Sequential,1228
52,0.5,Sequential,2500
53,0.5,Sequential,2500
54,0.5,Sequential,2500
55,0.5,Sequential,2500
56,0.5,Sequential,2500
57,0.5,Sequential,2500
58,0.5,Sequential,2500
59,0.5,Sequential,2500
60,0.5,Sequential,2500
61,0.5,Sequential,2500
62,0.5,Sequential,2500
63,0.5,Sequential,2500
64,0.5,Sequential,2500
65,0.5,Sequential,2500
66,0.5,Sequential,2500
67,0.5,Sequential,2500
68,0.5,Sequential,2500
69,0.5,Sequential,2500
70,0.5,Sequential,2500
71,0.5,Sequential,2500
72,0.5,Sequential,2500
73,0.5,Sequential,2500
74,0.5,Sequential,2500
75,0.5,Sequential,2500
76,0.5,Sequential,2500
77,0.5,Sequential,2500
78,0.5,Sequential,2500
79,0.5,Sequential,2500
80,0.5,Sequential,2500
81,0.5,Sequential,2500
82,0.5,Sequential,2500
83,0.5,Sequential,2500
84,0.5,Sequential,2500
85,0.5,Sequential,2500
86,0.5,Sequential,2500
87,0.5,Sequential,2500
88,0.5,Sequential,2500
89,0.5,Sequential,2500
90,0.5,Sequential,2500
91,0.5,Sequential,2500
92,0.5,Sequential,2500
93,0.5,Sequential,2500
94,0.5,Sequential,2500
95,0.5,Sequential,2500
96,0.5,Sequential,2500
97,0.5,Sequential,2500
98,0.5,Sequential,2500
99,0.5,Sequential,2500
100,0.5,Sequential,2500
101,0.5,Sequential,2500
